"filename", "language", "JSON with Comments", "CSS", "TypeScript React", "TypeScript", "JavaScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\loginPage\LoginPage.tsx", "TypeScript React", 0, 0, 61, 0, 0, 0, 0, 0, 0, 11, 72
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\loginPage\loginStyles.css", "CSS", 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\main\Main.tsx", "TypeScript React", 0, 0, 140, 0, 0, 0, 0, 0, 0, 7, 147
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\main\MessageToast.tsx", "TypeScript React", 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\main\mainStyles.css", "CSS", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\privateRoute\PrivateRoute.tsx", "TypeScript React", 0, 0, 11, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\ProfilePage.tsx", "TypeScript React", 0, 0, 140, 0, 0, 0, 0, 0, 1, 8, 149
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\ProfilePicture.tsx", "TypeScript React", 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\Statistics.tsx", "TypeScript React", 0, 0, 126, 0, 0, 0, 0, 0, 0, 12, 138
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\comments\CommentBox.tsx", "TypeScript React", 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\comments\Comments.tsx", "TypeScript React", 0, 0, 72, 0, 0, 0, 0, 0, 0, 4, 76
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\comments\commentStyles.css", "CSS", 0, 30, 0, 0, 0, 0, 0, 0, 0, 9, 39
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\comments\hooks\useFetchComments.tsx", "TypeScript React", 0, 0, 48, 0, 0, 0, 0, 0, 0, 10, 58
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\profileSettings\SettingsNav.tsx", "TypeScript React", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\profileSettings\profileInfo\ProfileInfoPage.tsx", "TypeScript React", 0, 0, 72, 0, 0, 0, 0, 0, 0, 12, 84
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\profileSettings\profileInfo\profileInfoStyles.css", "CSS", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\profileSettings\profilePicture\ErrorAlert.tsx", "TypeScript React", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\profileSettings\profilePicture\ProfilePicturePage.tsx", "TypeScript React", 0, 0, 100, 0, 0, 0, 0, 0, 0, 12, 112
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\profileSettings\profilePicture\profilePictureStyles.css", "CSS", 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\profileStyles.css", "CSS", 0, 44, 0, 0, 0, 0, 0, 0, 0, 11, 55
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\purchasedBooksPage\PurchasedBooksPage.tsx", "TypeScript React", 0, 0, 60, 0, 0, 0, 0, 0, 3, 6, 69
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\purchasedBooksPage\purchasedBooksStyles.css", "CSS", 0, 52, 0, 0, 0, 0, 0, 0, 0, 9, 61
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\searchPage\ItemCard.tsx", "TypeScript React", 0, 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\searchPage\Paginator.tsx", "TypeScript React", 0, 0, 37, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\searchPage\SearchBar.tsx", "TypeScript React", 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\searchPage\SearchPage.tsx", "TypeScript React", 0, 0, 44, 0, 0, 0, 0, 0, 7, 7, 58
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\searchPage\hooks\useSearch.tsx", "TypeScript React", 0, 0, 70, 0, 0, 0, 0, 0, 1, 12, 83
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\searchPage\searchStyles.css", "CSS", 0, 64, 0, 0, 0, 0, 0, 0, 4, 7, 75
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\updateBook\UpdateBook.tsx", "TypeScript React", 0, 0, 131, 0, 0, 0, 0, 0, 0, 9, 140
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\cookies\cookies.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\book.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\bookEntry.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 3, 38
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\chatMessage.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\comment.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\friend.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\notification.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
